fen,result
"r6r/8/8/p2k1P1p/P7/7P/3K4/b1B4R b - - 0 28",0
"r6r/8/8/p2k1P1p/P2b4/7P/3K4/2B4R w - - 1 29",0
"r6r/8/5P2/p2k3p/P2b4/7P/3K4/2B4R b - - 0 29",0
"r6r/8/5b2/p2k3p/P7/7P/3K4/2B4R w - - 0 30",0
"r6r/8/5b2/p2k3p/P7/4K2P/8/2B4R b - - 1 30",0
"r6r/8/5b2/p2k4/P6p/4K2P/8/2B4R w - - 0 31",0
"r6r/8/5b2/p2k4/P6p/4K2P/8/2BR4 b - - 1 31",0
"r6r/8/5b2/p3k3/P6p/4K2P/8/2BR4 w - - 2 32",0
"r6r/8/5b2/p3k3/P6p/4K2P/1B6/3R4 b - - 3 32",0
"r6r/8/4kb2/p7/P6p/4K2P/1B6/3R4 w - - 4 33",0
"r6r/8/4kb2/p7/P6p/3RK2P/1B6/8 b - - 5 33",0
"r6r/8/4k3/p7/P6p/3RK2P/1b6/8 w - - 0 34",0
"r6r/3R4/4k3/p7/P6p/4K2P/1b6/8 b - - 1 34",0
"r6r/3k4/8/p7/P6p/4K2P/1b6/8 w - - 0 35",0
"r6r/3k4/8/p7/P6p/7P/1b2K3/8 b - - 1 35",0
"r6r/8/4k3/p7/P6p/7P/1b2K3/8 w - - 2 36",0
"r6r/8/4k3/p7/P6p/3K3P/1b6/8 b - - 3 36",0
"r6r/8/8/p2k4/P6p/3K3P/1b6/8 w - - 4 37",0
"r6r/8/8/p2k4/P6p/4K2P/1b6/8 b - - 5 37",0
"r6r/8/8/p2k4/P2b3p/4K2P/8/8 w - - 6 38",0
"r6r/8/8/p2k4/P2b1K1p/7P/8/8 b - - 7 38",0
"r6r/8/2k5/p7/P2b1K1p/7P/8/8 w - - 8 39",0
"r6r/8/2k5/p7/P2bK2p/7P/8/8 b - - 9 39",0
"r6r/8/2k5/p7/P3K2p/7P/1b6/8 w - - 10 40",0
"r6r/8/2k5/p7/P6p/4K2P/1b6/8 b - - 11 40",0
"r6r/8/8/p2k4/P6p/4K2P/1b6/8 w - - 12 41",0
"r6r/8/8/p2k4/P6p/3K3P/1b6/8 b - - 13 41",0
"r6r/8/8/p2k4/P2b3p/3K3P/8/8 w - - 14 42",0
"r6r/8/8/p2k4/P2b3p/7P/2K5/8 b - - 15 42",0
"r6r/8/8/p7/P2bk2p/7P/2K5/8 w - - 16 43",0
"r6r/8/8/p7/P2bk2p/7P/3K4/8 b - - 17 43",0
"3r3r/8/8/p7/P2bk2p/7P/3K4/8 w - - 18 44",0
"3r3r/8/8/p7/P2bk2p/7P/4K3/8 b - - 19 44",0
"3rr3/8/8/p7/P2bk2p/7P/4K3/8 w - - 20 45",0
"3rr3/8/8/p7/P2bk2p/7P/8/4K3 b - - 21 45",0
"3rr3/8/8/p7/P2b3p/4k2P/8/4K3 w - - 22 46",0
"3rr3/8/8/p7/P2b3p/4k2P/8/3K4 b - - 23 46",0
"r3r3/8/8/p7/P2b3p/4k2P/8/3K4 w - - 24 47",0
