fen,result
"1r3k1r/2p3B1/5p2/p1p5/8/1B3P1P/PP4P1/R3K2R b KQ - 0 17",0
"1r5r/2p3k1/5p2/p1p5/8/1B3P1P/PP4P1/R3K2R w KQ - 0 18",0
"1r5r/2p3k1/5p2/p1p5/8/1B3P1P/PP2K1P1/R6R b - - 1 18",0
"1r6/2p3k1/5p2/p1p5/7r/1B3P1P/PP2K1P1/R6R w - - 2 19",0
"1r6/2p3k1/5p2/p1p5/7r/1B2KP1P/PP4P1/R6R b - - 3 19",0
"8/2p3k1/5p2/p1p5/7r/1r2KP1P/PP4P1/R6R w - - 0 20",0
"8/2p3k1/5p2/p1p5/7r/1P2KP1P/1P4P1/R6R b - - 0 20",0
"8/2p3kr/5p2/p1p5/8/1P2KP1P/1P4P1/R6R w - - 1 21",0
"8/2p3kr/5p2/R1p5/8/1P2KP1P/1P4P1/7R b - - 0 21",0
"8/2p3k1/5p2/R1p5/8/1P2KP1r/1P4P1/7R w - - 0 22",0
"8/2p3k1/5p2/R1p5/8/1P2KP1R/1P4P1/8 b - - 0 22",0
"8/2p2k2/5p2/R1p5/8/1P2KP1R/1P4P1/8 w - - 1 23",0
"8/2p2k2/5p2/2R5/8/1P2KP1R/1P4P1/8 b - - 0 23",0
"8/2p5/4kp2/2R5/8/1P2KP1R/1P4P1/8 w - - 1 24",0
"8/2R5/4kp2/8/8/1P2KP1R/1P4P1/8 b - - 0 24",0
"8/2R5/5p2/4k3/8/1P2KP1R/1P4P1/8 w - - 1 25",0
"8/2R5/5p2/4k3/1P6/4KP1R/1P4P1/8 b - - 0 25",0
"8/2R5/8/4kp2/1P6/4KP1R/1P4P1/8 w - - 0 26",0
"8/2R5/8/4kp2/1P6/5P1R/1P3KP1/8 b - - 1 26",0
"8/2R5/8/4k3/1P3p2/5P1R/1P3KP1/8 w - - 0 27",0
"8/2R5/8/4k3/1P3pP1/5P1R/1P3K2/8 b - g3 0 27",0
"8/2R5/8/4k3/1P6/5PpR/1P3K2/8 w - - 0 28",0
"8/2R5/8/4k3/1P6/5PR1/1P3K2/8 b - - 0 28",0
"8/2R5/8/3k4/1P6/5PR1/1P3K2/8 w - - 1 29",0
"8/2R5/8/3k4/1P6/4KPR1/1P6/8 b - - 2 29",0
"8/2R5/8/4k3/1P6/4KPR1/1P6/8 w - - 3 30",0
"8/2R5/8/1P2k3/8/4KPR1/1P6/8 b - - 0 30",0
"8/2R5/8/1P1k4/8/4KPR1/1P6/8 w - - 1 31",0
"8/2R5/1P6/3k4/8/4KPR1/1P6/8 b - - 0 31",0
"8/2R5/1P6/4k3/8/4KPR1/1P6/8 w - - 1 32",0
"8/1PR5/8/4k3/8/4KPR1/1P6/8 b - - 0 32",0
"8/1PR5/8/3k4/8/4KPR1/1P6/8 w - - 1 33",0
"1Q6/2R5/8/3k4/8/4KPR1/1P6/8 b - - 0 33",0
"1Q6/2R5/3k4/8/8/4KPR1/1P6/8 w - - 1 34",0
"1Q6/2R5/3k4/8/5P2/4K1R1/1P6/8 b - - 0 34",0
"1Q6/2R5/4k3/8/5P2/4K1R1/1P6/8 w - - 1 35",0
"1Q6/2R5/4k3/5P2/8/4K1R1/1P6/8 b - - 0 35",0
"1Q6/2R5/8/5k2/8/4K1R1/1P6/8 w - - 0 36",0
"1Q6/2R5/8/5k2/1P6/4K1R1/8/8 b - b3 0 36",0
"1Q6/2R5/4k3/8/1P6/4K1R1/8/8 w - - 1 37",0
"1Q6/2R5/4k3/1P6/8/4K1R1/8/8 b - - 0 37",0
"1Q6/2R5/3k4/1P6/8/4K1R1/8/8 w - - 1 38",0
"1Q6/2R5/1P1k4/8/8/4K1R1/8/8 b - - 0 38",0
"1Q6/2R5/1P6/3k4/8/4K1R1/8/8 w - - 1 39",0
"1Q6/1PR5/8/3k4/8/4K1R1/8/8 b - - 0 39",0
"1Q6/1PR5/3k4/8/8/4K1R1/8/8 w - - 1 40",0
"1Q6/1PR5/3k4/8/3K4/6R1/8/8 b - - 2 40",0
"1Q6/1PR5/4k3/8/3K4/6R1/8/8 w - - 3 41",0
"1Q6/1P2R3/4k3/8/3K4/6R1/8/8 b - - 4 41",0
"1Q6/1P2k3/8/8/3K4/6R1/8/8 w - - 0 42",0
"8/1P2k3/8/8/3K1Q2/6R1/8/8 b - - 1 42",0
"8/1P6/4k3/8/3K1Q2/6R1/8/8 w - - 2 43",0
"1Q6/8/4k3/8/3K1Q2/6R1/8/8 b - - 0 43",0
"1Q6/4k3/8/8/3K1Q2/6R1/8/8 w - - 1 44",0
"8/4k3/8/8/3K1Q2/1Q4R1/8/8 b - - 2 44",0
"4k3/8/8/8/3K1Q2/1Q4R1/8/8 w - - 3 45",0
"4k3/8/8/4K3/5Q2/1Q4R1/8/8 b - - 4 45",0
"8/3k4/8/4K3/5Q2/1Q4R1/8/8 w - - 5 46",0
"8/3k2R1/8/4K3/5Q2/1Q6/8/8 b - - 6 46",0
"3k4/6R1/8/4K3/5Q2/1Q6/8/8 w - - 7 47",0
"3k4/6R1/8/3K4/5Q2/1Q6/8/8 b - - 8 47",0
"4k3/6R1/8/3K4/5Q2/1Q6/8/8 w - - 9 48",0
"4k3/6R1/2K5/8/5Q2/1Q6/8/8 b - - 10 48",0
"3k4/6R1/2K5/8/5Q2/1Q6/8/8 w - - 11 49",0
"3k4/6R1/8/3K4/5Q2/1Q6/8/8 b - - 12 49",0
"4k3/6R1/8/3K4/5Q2/1Q6/8/8 w - - 13 50",0
"4k3/6R1/8/3K4/5Q2/2Q5/8/8 b - - 14 50",0
"3k4/6R1/8/3K4/5Q2/2Q5/8/8 w - - 15 51",0
"3k4/6R1/8/3K4/2Q5/2Q5/8/8 b - - 16 51",0
"4k3/6R1/8/3K4/2Q5/2Q5/8/8 w - - 17 52",0
"4k3/6R1/8/4K3/2Q5/2Q5/8/8 b - - 18 52",0
"3k4/6R1/8/4K3/2Q5/2Q5/8/8 w - - 19 53",0
"3k4/6R1/8/3K4/2Q5/2Q5/8/8 b - - 20 53",0
"4k3/6R1/8/3K4/2Q5/2Q5/8/8 w - - 21 54",0
"4k3/6R1/8/Q2K4/2Q5/8/8/8 b - - 22 54",0
"5k2/6R1/8/Q2K4/2Q5/8/8/8 w - - 23 55",0
"5k2/6R1/8/2QK4/2Q5/8/8/8 b - - 24 55",0
"8/6k1/8/2QK4/2Q5/8/8/8 w - - 0 56",0
"2Q5/6k1/8/3K4/2Q5/8/8/8 b - - 1 56",0
"2Q5/8/5k2/3K4/2Q5/8/8/8 w - - 2 57",0
"8/8/5k2/2QK4/2Q5/8/8/8 b - - 3 57",0
"8/8/6k1/2QK4/2Q5/8/8/8 w - - 4 58",0
"8/8/6k1/1Q1K4/2Q5/8/8/8 b - - 5 58",0
"8/6k1/8/1Q1K4/2Q5/8/8/8 w - - 6 59",0
"8/6k1/8/1Q1K4/5Q2/8/8/8 b - - 7 59",0
"6k1/8/8/1Q1K4/5Q2/8/8/8 w - - 8 60",0
"6k1/8/8/1Q1K4/8/8/5Q2/8 b - - 9 60",0
"8/6k1/8/1Q1K4/8/8/5Q2/8 w - - 10 61",0
"8/6k1/8/1Q1K4/8/8/2Q5/8 b - - 11 61",0
"6k1/8/8/1Q1K4/8/8/2Q5/8 w - - 12 62",0
"6k1/8/8/3K4/8/1Q6/2Q5/8 b - - 13 62",0
"8/6k1/8/3K4/8/1Q6/2Q5/8 w - - 14 63",0
"8/6k1/8/4K3/8/1Q6/2Q5/8 b - - 15 63",0
"5k2/8/8/4K3/8/1Q6/2Q5/8 w - - 16 64",0
"5k2/8/8/4K3/8/1QQ5/8/8 b - - 17 64",0
"8/4k3/8/4K3/8/1QQ5/8/8 w - - 18 65",0
"8/4k3/8/1Q2K3/8/2Q5/8/8 b - - 19 65",0
"3k4/8/8/1Q2K3/8/2Q5/8/8 w - - 20 66",0
"3k4/8/8/4K3/8/1QQ5/8/8 b - - 21 66",0
"8/4k3/8/4K3/8/1QQ5/8/8 w - - 22 67",0
"8/4k3/8/4K3/8/1Q6/2Q5/8 b - - 23 67",0
"8/3k4/8/4K3/8/1Q6/2Q5/8 w - - 24 68",0
"8/3k4/8/3K4/8/1Q6/2Q5/8 b - - 25 68",0
"8/4k3/8/3K4/8/1Q6/2Q5/8 w - - 26 69",0
"8/4k3/8/4K3/8/1Q6/2Q5/8 b - - 27 69",0
"8/3k4/8/4K3/8/1Q6/2Q5/8 w - - 28 70",0
"8/3k4/8/3K4/8/1Q6/2Q5/8 b - - 29 70",0
"8/4k3/8/3K4/8/1Q6/2Q5/8 w - - 30 71",0
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1",0
"rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq h3 0 1",0
"r1bqkbnr/pppppppp/2n5/8/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 1 2",0
"r1bqkbnr/pppppppp/2n5/8/7P/2P5/PP1PPPP1/RNBQKBNR b KQkq - 0 2",0
"r1bqkb1r/pppppppp/2n2n2/8/7P/2P5/PP1PPPP1/RNBQKBNR w KQkq - 1 3",0
"r1bqkb1r/pppppppp/2n2n2/8/7P/N1P5/PP1PPPP1/R1BQKBNR b KQkq - 2 3",0
"r1bqkb1r/ppp1pppp/2n2n2/3p4/7P/N1P5/PP1PPPP1/R1BQKBNR w KQkq d6 0 4",0
"r1bqkb1r/ppp1pppp/2n2n2/3p4/7P/NPP5/P2PPPP1/R1BQKBNR b KQkq - 0 4",0
"r1bqkb1r/ppp2ppp/2n2n2/3pp3/7P/NPP5/P2PPPP1/R1BQKBNR w KQkq e6 0 5",0
"r1bqkb1r/ppp2ppp/2n2n2/3pp3/7P/NPP2N2/P2PPPP1/R1BQKB1R b KQkq - 1 5",0
"r1b1kb1r/pppq1ppp/2n2n2/3pp3/7P/NPP2N2/P2PPPP1/R1BQKB1R w KQkq - 2 6",0
"r1b1kb1r/pppq1ppp/2n2n2/3pN3/7P/NPP5/P2PPPP1/R1BQKB1R b KQkq - 0 6",0
"r1b1kb1r/1ppq1ppp/2n2n2/p2pN3/7P/NPP5/P2PPPP1/R1BQKB1R w KQkq a6 0 7",0
"r1b1kb1r/1ppq1ppp/2n2n2/p2p4/2N4P/NPP5/P2PPPP1/R1BQKB1R b KQkq - 1 7",0
"r1b1kb1r/1ppq1ppp/2n2n2/p7/2p4P/NPP5/P2PPPP1/R1BQKB1R w KQkq - 0 8",0
"r1b1kb1r/1ppq1ppp/2n2n2/p7/2N4P/1PP5/P2PPPP1/R1BQKB1R b KQkq - 0 8",0
"r1b1kb1r/1pp2ppp/2n2n2/p7/2N4P/1PP5/P2qPPP1/R1BQKB1R w KQkq - 0 9",0
"r1b1kb1r/1pp2ppp/2n2n2/p7/2N4P/1PP5/P2KPPP1/R1BQ1B1R b kq - 0 9",0
"r3kb1r/1pp2ppp/2n2n2/p4b2/2N4P/1PP5/P2KPPP1/R1BQ1B1R w kq - 1 10",0
"r3kb1r/1pp2ppp/2n2n2/N4b2/7P/1PP5/P2KPPP1/R1BQ1B1R b kq - 0 10",0
"4kb1r/1pp2ppp/2n2n2/r4b2/7P/1PP5/P2KPPP1/R1BQ1B1R w k - 0 11",0
"4kb1r/1pp2ppp/2n2n2/r4b2/4P2P/1PP5/P2K1PP1/R1BQ1B1R b k e3 0 11",0
"4kb1r/1pp1nppp/5n2/r4b2/4P2P/1PP5/P2K1PP1/R1BQ1B1R w k - 1 12",0
"4kb1r/1pp1nppp/5n2/r4P2/7P/1PP5/P2K1PP1/R1BQ1B1R b k - 0 12",0
"4kb1r/1pp2ppp/5n2/r4n2/7P/1PP5/P2K1PP1/R1BQ1B1R w k - 0 13",0
"4kb1r/1pp2ppp/5n2/r4n2/7P/1PPB4/P2K1PP1/R1BQ3R b k - 1 13",0
"4kb1r/1pp2ppp/5n2/5n2/7P/1PPB4/r2K1PP1/R1BQ3R w k - 0 14",0
"4kb1r/1pp2ppp/5n2/5n2/7P/1PPB4/R2K1PP1/2BQ3R b k - 0 14",0
"4kb1r/1pp2ppp/5n2/8/7n/1PPB4/R2K1PP1/2BQ3R w k - 0 15",0
"4kb1r/1pp2ppp/5n2/7Q/7n/1PPB4/R2K1PP1/2B4R b k - 1 15",0
"4kb1r/1pp2ppp/8/7Q/4n2n/1PPB4/R2K1PP1/2B4R w k - 2 16",0
"4kb1r/1pp2ppp/8/7Q/4B2n/1PP5/R2K1PP1/2B4R b k - 0 16",0
"4kb1r/1pp2ppp/8/7Q/4B3/1PP5/R2K1Pn1/2B4R w k - 0 17",0
"4kb1r/1pp2ppp/8/7Q/8/1PP5/R2K1PB1/2B4R b k - 0 17",0
"4k2r/1pp2ppp/8/2b4Q/8/1PP5/R2K1PB1/2B4R w k - 1 18",0
"4k2r/1pp2ppp/8/2Q5/8/1PP5/R2K1PB1/2B4R b k - 0 18",0
"4kr2/1pp2ppp/8/2Q5/8/1PP5/R2K1PB1/2B4R w - - 1 19",0
"4kQ2/1pp2ppp/8/8/8/1PP5/R2K1PB1/2B4R b - - 0 19",0
"5k2/1pp2ppp/8/8/8/1PP5/R2K1PB1/2B4R w - - 0 20",0
"5k2/1pp2ppR/8/8/8/1PP5/R2K1PB1/2B5 b - - 0 20",0
"8/1pp1kppR/8/8/8/1PP5/R2K1PB1/2B5 w - - 1 21",0
"8/1pp1kpR1/8/8/8/1PP5/R2K1PB1/2B5 b - - 0 21",0
"8/1pp2pR1/4k3/8/8/1PP5/R2K1PB1/2B5 w - - 1 22",0
"8/1Bp2pR1/4k3/8/8/1PP5/R2K1P2/2B5 b - - 0 22",0
"8/1Bp2pR1/8/4k3/8/1PP5/R2K1P2/2B5 w - - 1 23",0
"8/2p2pR1/B7/4k3/8/1PP5/R2K1P2/2B5 b - - 2 23",0
"8/5pR1/B7/2p1k3/8/1PP5/R2K1P2/2B5 w - c6 0 24",0
"8/5R2/B7/2p1k3/8/1PP5/R2K1P2/2B5 b - - 0 24",0
"8/5R2/B7/2p5/4k3/1PP5/R2K1P2/2B5 w - - 1 25",0
"8/5R2/B7/2p5/4kP2/1PP5/R2K4/2B5 b - f3 0 25",0
"8/5R2/B7/2p5/5P2/1PP2k2/R2K4/2B5 w - - 1 26",0
"8/5R2/B7/2p2P2/8/1PP2k2/R2K4/2B5 b - - 0 26",0
"8/5R2/B7/2p2P2/4k3/1PP5/R2K4/2B5 w - - 1 27",0
"8/3R4/B7/2p2P2/4k3/1PP5/R2K4/2B5 b - - 2 27",0
"8/3R4/B7/2p2k2/8/1PP5/R2K4/2B5 w - - 0 28",0
"8/3R4/8/2p2k2/8/1PPB4/R2K4/2B5 b - - 1 28",0
"8/3R4/5k2/2p5/8/1PPB4/R2K4/2B5 w - - 2 29",0
"8/3R4/5k2/2p5/8/1PPBK3/R7/2B5 b - - 3 29",0
"8/3R4/5k2/8/2p5/1PPBK3/R7/2B5 w - - 0 30",0
"8/3R4/5k2/8/2B5/1PP1K3/R7/2B5 b - - 0 30",0
"8/3R4/8/5k2/2B5/1PP1K3/R7/2B5 w - - 1 31",0
"8/3R4/8/5k2/1PB5/2P1K3/R7/2B5 b - - 0 31",0
"8/3R4/8/4k3/1PB5/2P1K3/R7/2B5 w - - 1 32",0
"8/3R4/8/1P2k3/2B5/2P1K3/R7/2B5 b - - 0 32",0
"8/3R4/8/1P3k2/2B5/2P1K3/R7/2B5 w - - 1 33",0
"8/3R4/1P6/5k2/2B5/2P1K3/R7/2B5 b - - 0 33",0
"8/3R4/1P6/4k3/2B5/2P1K3/R7/2B5 w - - 1 34",0
"8/3R4/1P6/4k3/2B5/2P1K3/8/R1B5 b - - 2 34",0
"8/3R4/1P6/5k2/2B5/2P1K3/8/R1B5 w - - 3 35",0
"8/3R4/1P6/5k2/2B5/2P1K3/3B4/R7 b - - 4 35",0
"8/3R4/1P3k2/8/2B5/2P1K3/3B4/R7 w - - 5 36",0
"8/1P1R4/5k2/8/2B5/2P1K3/3B4/R7 b - - 0 36",0
"8/1P1R4/8/4k3/2B5/2P1K3/3B4/R7 w - - 1 37",0
"1Q6/3R4/8/4k3/2B5/2P1K3/3B4/R7 b - - 0 37",0
"1Q6/3R4/5k2/8/2B5/2P1K3/3B4/R7 w - - 1 38",0
"1Q6/3R4/5k2/8/2B1K3/2P5/3B4/R7 b - - 2 38",0
"1Q6/3R4/6k1/8/2B1K3/2P5/3B4/R7 w - - 3 39",0
"8/3R4/6k1/8/2B1K3/1QP5/3B4/R7 b - - 4 39",0
"8/3R4/5k2/8/2B1K3/1QP5/3B4/R7 w - - 5 40",0
"8/3R4/5k2/8/2B1K3/1QP1B3/8/R7 b - - 6 40",0
"8/3R4/6k1/8/2B1K3/1QP1B3/8/R7 w - - 7 41",0
"8/3R4/6k1/4K3/2B5/1QP1B3/8/R7 b - - 8 41",0
"8/3R4/8/4K2k/2B5/1QP1B3/8/R7 w - - 9 42",0
"8/3R4/4K3/7k/2B5/1QP1B3/8/R7 b - - 10 42",0
"8/3R4/4K3/8/2B3k1/1QP1B3/8/R7 w - - 11 43",0
"8/8/4K3/8/2BR2k1/1QP1B3/8/R7 b - - 12 43",0
"8/8/4K3/7k/2BR4/1QP1B3/8/R7 w - - 13 44",0
"8/8/8/4K2k/2BR4/1QP1B3/8/R7 b - - 14 44",0
"8/8/6k1/4K3/2BR4/1QP1B3/8/R7 w - - 15 45",0
"8/8/6k1/4K3/2B4R/1QP1B3/8/R7 b - - 16 45",0
"8/6k1/8/4K3/2B4R/1QP1B3/8/R7 w - - 17 46",0
"8/6kR/8/4K3/2B5/1QP1B3/8/R7 b - - 18 46",0
"8/7k/8/4K3/2B5/1QP1B3/8/R7 w - - 0 47",0
"8/7k/8/4K3/2B5/1QP1B3/8/3R4 b - - 1 47",0
"8/6k1/8/4K3/2B5/1QP1B3/8/3R4 w - - 2 48",0
"8/3R2k1/8/4K3/2B5/1QP1B3/8/8 b - - 3 48",0
"5k2/3R4/8/4K3/2B5/1QP1B3/8/8 w - - 4 49",0
"5k2/8/8/4K3/2B5/1QP1B3/3R4/8 b - - 5 49",0
"8/4k3/8/4K3/2B5/1QP1B3/3R4/8 w - - 6 50",0
"8/4k3/1B6/4K3/2B5/1QP5/3R4/8 b - - 7 50",0
"4k3/8/1B6/4K3/2B5/1QP5/3R4/8 w - - 8 51",0
"4k3/8/1B6/4K3/8/1QP5/3R4/5B2 b - - 9 51",0
"8/4k3/1B6/4K3/8/1QP5/3R4/5B2 w - - 10 52",0
"8/4k3/1B6/4K3/2P5/1Q6/3R4/5B2 b - - 0 52",0
"4k3/8/1B6/4K3/2P5/1Q6/3R4/5B2 w - - 1 53",0
"4k3/8/1B6/2P1K3/8/1Q6/3R4/5B2 b - - 0 53",0
"8/4k3/1B6/2P1K3/8/1Q6/3R4/5B2 w - - 1 54",0
"8/4k3/1BP5/4K3/8/1Q6/3R4/5B2 b - - 0 54",0
"5k2/8/1BP5/4K3/8/1Q6/3R4/5B2 w - - 1 55",0
"5k2/2P5/1B6/4K3/8/1Q6/3R4/5B2 b - - 0 55",0
"8/2P1k3/1B6/4K3/8/1Q6/3R4/5B2 w - - 1 56",0
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1",0
"rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1",0
"r1bqkbnr/pppppppp/2n5/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 2 2",0
"r1bqkbnr/pppppppp/2n5/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2",0
"r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3",0
"r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq d3 0 3",0
"r1bqkb1r/pppppppp/5n2/8/3n4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4",0
"r1bqkb1r/pppppppp/5n2/8/3Q4/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 4",0
"r1bqkb1r/ppp1pppp/5n2/3p4/3Q4/2N2N2/PPP1PPPP/R1B1KB1R w KQkq d6 0 5",0
"r1bqkb1r/ppp1pppp/5Q2/3p4/8/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 5",0
"r1bqkb1r/ppp2ppp/5p2/3p4/8/2N2N2/PPP1PPPP/R1B1KB1R w KQkq - 0 6",0
"r1bqkb1r/ppp2ppp/5p2/3N4/8/5N2/PPP1PPPP/R1B1KB1R b KQkq - 0 6",0
"r1b1kb1r/ppp2ppp/5p2/3q4/8/5N2/PPP1PPPP/R1B1KB1R w KQkq - 0 7",0
"r1b1kb1r/ppp2ppp/5p2/3q4/4P3/5N2/PPP2PPP/R1B1KB1R b KQkq e3 0 7",0
"r1b1kb1r/ppp2ppp/5p2/8/4q3/5N2/PPP2PPP/R1B1KB1R w KQkq - 0 8",0
"r1b1kb1r/ppp2ppp/5p2/8/4q3/4BN2/PPP2PPP/R3KB1R b KQkq - 1 8",0
"r1b1kb1r/ppp2ppp/5p2/8/8/4qN2/PPP2PPP/R3KB1R w KQkq - 0 9",0
"r1b1kb1r/ppp2ppp/5p2/8/8/4PN2/PPP3PP/R3KB1R b KQkq - 0 9",0
"1rb1kb1r/ppp2ppp/5p2/8/8/4PN2/PPP3PP/R3KB1R w KQk - 1 10",0
"1rb1kb1r/ppp2ppp/5p2/8/8/3BPN2/PPP3PP/R3K2R b KQk - 2 10",0
"1rb1kb1r/ppp2ppp/8/5p2/8/3BPN2/PPP3PP/R3K2R w KQk - 0 11",0
"1rb1kb1r/ppp2ppp/8/5p2/8/P2BPN2/1PP3PP/R3K2R b KQk - 0 11",0
"1rb1k2r/ppp2ppp/8/5p2/8/b2BPN2/1PP3PP/R3K2R w KQk - 0 12",0
"1rb1k2r/ppp2ppp/8/5p2/8/R2BPN2/1PP3PP/4K2R b Kk - 0 12",0
"1rb1k2r/1pp2ppp/8/p4p2/8/R2BPN2/1PP3PP/4K2R w Kk a6 0 13",0
"1rb1k2r/1pp2ppp/8/R4p2/8/3BPN2/1PP3PP/4K2R b Kk - 0 13",0
"1rb2rk1/1pp2ppp/8/R4p2/8/3BPN2/1PP3PP/4K2R w K - 1 14",0
"1rb2rk1/1pp2ppp/8/5R2/8/3BPN2/1PP3PP/4K2R b K - 0 14",0
"1rb2rk1/1pp3pp/5p2/5R2/8/3BPN2/1PP3PP/4K2R w K - 0 15",0
"1rb2rk1/1pp3pp/5R2/8/8/3BPN2/1PP3PP/4K2R b K - 0 15",0
"1rb3k1/1pp3pp/5r2/8/8/3BPN2/1PP3PP/4K2R w K - 0 16",0
"1rb3k1/1pp3pB/5r2/8/8/4PN2/1PP3PP/4K2R b K - 0 16",0
"1rb5/1pp3pk/5r2/8/8/4PN2/1PP3PP/4K2R w K - 0 17",0
"1rb5/1pp3pk/5r2/8/4P3/5N2/1PP3PP/4K2R b K - 0 17",0
"1rb5/1pp3pk/8/8/4P3/5r2/1PP3PP/4K2R w K - 0 18",0
"1rb5/1pp3pk/8/8/4P3/5P2/1PP4P/4K2R b K - 0 18",0
"1rb3k1/1pp3p1/8/8/4P3/5P2/1PP4P/4K2R w K - 1 19",0
"1rb3k1/1pp3p1/8/4P3/8/5P2/1PP4P/4K2R b K - 0 19",0
"1r4k1/1pp3p1/8/4Pb2/8/5P2/1PP4P/4K2R w K - 1 20",0
"1r4k1/1pp3p1/4P3/5b2/8/5P2/1PP4P/4K2R b K - 0 20",0
"1r4k1/1pp3p1/4P3/8/8/5P2/1Pb4P/4K2R w K - 0 21",0
"1r4k1/1pp1P1p1/8/8/8/5P2/1Pb4P/4K2R b K - 0 21",0
"1r4k1/1pp1P1p1/8/8/8/3b1P2/1P5P/4K2R w K - 1 22",0
"1r2Q1k1/1pp3p1/8/8/8/3b1P2/1P5P/4K2R b K - 0 22",0
"1r2Q3/1pp3pk/8/8/8/3b1P2/1P5P/4K2R w K - 1 23",0
"1Q6/1pp3pk/8/8/8/3b1P2/1P5P/4K2R b K - 0 23",0
"1Q6/1pp4k/6p1/8/8/3b1P2/1P5P/4K2R w K - 0 24",0
"8/1Qp4k/6p1/8/8/3b1P2/1P5P/4K2R b K - 0 24",0
"8/1Qp3k1/6p1/8/8/3b1P2/1P5P/4K2R w K - 1 25",0
"8/2Q3k1/6p1/8/8/3b1P2/1P5P/4K2R b K - 0 25",0
"8/2Q5/5kp1/8/8/3b1P2/1P5P/4K2R w K - 1 26",0
"8/2Q5/5kp1/8/8/3b1P2/1P3K1P/7R b - - 2 26",0
"8/2Q5/b4kp1/8/8/5P2/1P3K1P/7R w - - 3 27",0
"8/2Q5/b4kp1/8/8/4KP2/1P5P/7R b - - 4 27",0
"8/2Q5/5kp1/8/8/4KP2/1P2b2P/7R w - - 5 28",0
"8/2Q5/5kp1/8/8/5P2/1P2K2P/7R b - - 0 28",0
"8/2Q5/4k1p1/8/8/5P2/1P2K2P/7R w - - 1 29",0
"8/2Q5/4k1p1/8/8/4KP2/1P5P/7R b - - 2 29",0
"8/2Q5/4k3/6p1/8/4KP2/1P5P/7R w - - 0 30",0
"8/2Q5/4k3/6p1/1P6/4KP2/7P/7R b - b3 0 30",0
"8/2Q5/4k3/8/1P4p1/4KP2/7P/7R w - - 0 31",0
"8/2Q5/4k3/8/1P4P1/4K3/7P/7R b - - 0 31",0
"8/2Q5/8/3k4/1P4P1/4K3/7P/7R w - - 1 32",0
"8/2Q5/8/1P1k4/6P1/4K3/7P/7R b - - 0 32",0
"8/2Q5/4k3/1P6/6P1/4K3/7P/7R w - - 1 33",0
"8/2Q5/1P2k3/8/6P1/4K3/7P/7R b - - 0 33",0
"8/2Q5/1P6/3k4/6P1/4K3/7P/7R w - - 1 34",0
"8/8/1P6/3k4/6P1/4K3/7P/2Q4R b - - 2 34",0
"8/8/1P1k4/8/6P1/4K3/7P/2Q4R w - - 3 35",0
"8/1P6/3k4/8/6P1/4K3/7P/2Q4R b - - 0 35",0
"8/1P6/8/3k4/6P1/4K3/7P/2Q4R w - - 1 36",0
"1Q6/8/8/3k4/6P1/4K3/7P/2Q4R b - - 0 36",0
"1Q6/8/4k3/8/6P1/4K3/7P/2Q4R w - - 1 37",0
"1Q6/8/4k3/6P1/8/4K3/7P/2Q4R b - - 0 37",0
"1Q6/4k3/8/6P1/8/4K3/7P/2Q4R w - - 1 38",0
"1Q6/4k3/6P1/8/8/4K3/7P/2Q4R b - - 0 38",0
"1Q6/3k4/6P1/8/8/4K3/7P/2Q4R w - - 1 39",0
"1Q6/3k2P1/8/8/8/4K3/7P/2Q4R b - - 0 39",0
"1Q6/4k1P1/8/8/8/4K3/7P/2Q4R w - - 1 40",0
"1Q4Q1/4k3/8/8/8/4K3/7P/2Q4R b - - 0 40",0
"1Q4Q1/3k4/8/8/8/4K3/7P/2Q4R w - - 1 41",0
"1Q4Q1/3k4/8/8/3K4/8/7P/2Q4R b - - 2 41",0
"1Q4Q1/4k3/8/8/3K4/8/7P/2Q4R w - - 3 42",0
"1Q4Q1/4k3/8/8/3K3P/8/8/2Q4R b - h3 0 42",0
"1Q4Q1/3k4/8/8/3K3P/8/8/2Q4R w - - 1 43",0
"1Q4Q1/3k4/8/7P/3K4/8/8/2Q4R b - - 0 43",0
"1Q4Q1/4k3/8/7P/3K4/8/8/2Q4R w - - 1 44",0
"1Q4Q1/4k3/7P/8/3K4/8/8/2Q4R b - - 0 44",0
"1Q4Q1/3k4/7P/8/3K4/8/8/2Q4R w - - 1 45",0
"6Q1/1Q1k4/7P/8/3K4/8/8/2Q4R b - - 2 45",0
"6Q1/1Q6/3k3P/8/3K4/8/8/2Q4R w - - 3 46",0
